shipment_id,customer_id,route_id,vehicle_id,driver_id,planned_departure,actual_departure,planned_arrival,actual_arrival,origin,destination,distance_km,fuel_cost,shipment_revenue,shipment_status,cargo_type
S053,C009,R006,V003,D010,2026-03-30 15:00:00,2026-03-30 15:07:00,2026-03-30 19:00:00,2026-03-30 19:49:00,Luxembourg,Reims,108,61,418,Delivered,General
S054,C019,R007,V007,D004,2026-03-30 14:00:00,2026-03-30 14:01:00,2026-03-30 18:00:00,,Luxembourg,Brussels,353,82,204,In Transit,Chemicals
S055,C012,R009,V007,D006,2026-03-30 15:00:00,2026-03-30 15:38:00,2026-03-30 19:00:00,2026-03-30 18:55:00,Luxembourg,Brussels,309,107,112,Delivered,Food
S056,C012,R008,V003,D007,2026-03-30 12:00:00,2026-03-30 12:06:00,2026-03-30 16:00:00,,Luxembourg,Paris,317,89,651,In Transit,Food
S057,C011,R004,V002,D005,2026-03-30 12:00:00,2026-03-30 12:27:00,2026-03-30 16:00:00,,Luxembourg,Metz,174,138,683,In Transit,Food
S058,C011,R003,V008,D004,2026-03-30 10:00:00,2026-03-30 10:01:00,2026-03-30 14:00:00,,Luxembourg,Liege,182,107,386,In Transit,Chemicals
S059,C008,R007,V008,D009,2026-03-30 13:00:00,2026-03-30 13:00:00,2026-03-30 17:00:00,2026-03-30 17:00:00,Luxembourg,Paris,293,145,558,Delivered,General
S060,C008,R005,V010,D006,2026-03-30 06:00:00,2026-03-30 06:18:00,2026-03-30 10:00:00,2026-03-30 10:41:00,Luxembourg,Metz,333,108,535,Delivered,Chemicals
S061,C010,R005,V004,D002,2026-03-30 10:00:00,2026-03-30 10:29:00,2026-03-30 14:00:00,,Luxembourg,Nancy,148,100,222,In Transit,Pharma
S062,C009,R010,V009,D010,2026-03-30 08:00:00,2026-03-30 08:13:00,2026-03-30 12:00:00,,Luxembourg,Liege,101,69,403,In Transit,Pharma
S063,C001,R009,V003,D005,2026-03-30 10:00:00,2026-03-30 10:11:00,2026-03-30 14:00:00,,Luxembourg,Brussels,77,94,229,In Transit,Food
S064,C016,R008,V008,D006,2026-03-30 06:00:00,2026-03-30 06:00:00,2026-03-30 10:00:00,,Luxembourg,Paris,76,84,589,In Transit,General
S065,C003,R010,V001,D003,2026-03-30 06:00:00,2026-03-30 06:25:00,2026-03-30 10:00:00,,Luxembourg,Paris,338,97,187,In Transit,Pharma
S066,C020,R010,V010,D004,2026-03-30 06:00:00,2026-03-30 06:35:00,2026-03-30 10:00:00,,Luxembourg,Reims,244,135,553,In Transit,Chemicals
S067,C019,R010,V001,D010,2026-03-30 14:00:00,2026-03-30 14:27:00,2026-03-30 18:00:00,,Luxembourg,Nancy,100,73,316,In Transit,Chemicals
S068,C006,R009,V002,D003,2026-03-30 15:00:00,2026-03-30 15:05:00,2026-03-30 19:00:00,2026-03-30 19:20:00,Luxembourg,Brussels,259,135,581,Delivered,Chemicals
S069,C010,R008,V002,D004,2026-03-30 05:00:00,2026-03-30 05:14:00,2026-03-30 09:00:00,,Luxembourg,Liege,370,70,535,In Transit,General
S070,C005,R002,V001,D003,2026-03-30 13:00:00,2026-03-30 13:14:00,2026-03-30 17:00:00,2026-03-30 17:24:00,Luxembourg,Liege,354,93,549,Delivered,General
S071,C009,R009,V009,D008,2026-03-30 12:00:00,2026-03-30 12:19:00,2026-03-30 16:00:00,,Luxembourg,Metz,91,30,542,In Transit,Chemicals
S072,C008,R010,V010,D001,2026-03-30 14:00:00,2026-03-30 14:16:00,2026-03-30 18:00:00,2026-03-30 18:01:00,Luxembourg,Nancy,187,30,279,Delivered,Food
S073,C006,R010,V007,D008,2026-03-30 13:00:00,2026-03-30 13:28:00,2026-03-30 17:00:00,,Luxembourg,Brussels,290,109,518,In Transit,Chemicals
S074,C014,R008,V005,D007,2026-03-30 10:00:00,2026-03-30 10:06:00,2026-03-30 14:00:00,2026-03-30 14:32:00,Luxembourg,Reims,68,136,190,Delivered,Chemicals
S075,C017,R001,V009,D008,2026-03-30 09:00:00,2026-03-30 09:20:00,2026-03-30 13:00:00,2026-03-30 13:41:00,Luxembourg,Metz,77,68,630,Delivered,Chemicals
S076,C002,R004,V005,D009,2026-03-30 14:00:00,2026-03-30 14:31:00,2026-03-30 18:00:00,,Luxembourg,Paris,197,132,596,In Transit,General
S077,C010,R009,V001,D009,2026-03-30 05:00:00,2026-03-30 05:40:00,2026-03-30 09:00:00,2026-03-30 09:10:00,Luxembourg,Metz,97,77,216,Delivered,Food
S078,C010,R009,V005,D007,2026-03-30 06:00:00,2026-03-30 06:09:00,2026-03-30 10:00:00,,Luxembourg,Metz,291,82,567,In Transit,Pharma
S079,C009,R007,V006,D009,2026-03-30 11:00:00,2026-03-30 11:12:00,2026-03-30 15:00:00,2026-03-30 14:58:00,Luxembourg,Liege,51,92,405,Delivered,Food
S080,C012,R006,V009,D009,2026-03-30 07:00:00,2026-03-30 07:28:00,2026-03-30 11:00:00,,Luxembourg,Metz,283,102,293,In Transit,Pharma
S081,C002,R006,V008,D007,2026-03-30 14:00:00,2026-03-30 14:24:00,2026-03-30 18:00:00,2026-03-30 18:42:00,Luxembourg,Metz,389,58,607,Delivered,General
S082,C004,R008,V002,D009,2026-03-30 07:00:00,2026-03-30 07:32:00,2026-03-30 11:00:00,,Luxembourg,Metz,57,56,519,In Transit,Pharma
S083,C011,R010,V007,D002,2026-03-30 06:00:00,2026-03-30 06:30:00,2026-03-30 10:00:00,,Luxembourg,Liege,395,117,424,In Transit,Food
S084,C010,R004,V002,D007,2026-03-30 13:00:00,2026-03-30 13:02:00,2026-03-30 17:00:00,2026-03-30 17:20:00,Luxembourg,Brussels,374,45,554,Delivered,Pharma
S085,C002,R005,V006,D006,2026-03-30 09:00:00,2026-03-30 09:01:00,2026-03-30 13:00:00,2026-03-30 13:31:00,Luxembourg,Metz,124,82,643,Delivered,Food
S086,C003,R010,V007,D010,2026-03-30 14:00:00,2026-03-30 14:11:00,2026-03-30 18:00:00,2026-03-30 18:12:00,Luxembourg,Nancy,173,147,697,Delivered,Pharma
S087,C015,R005,V001,D008,2026-03-30 08:00:00,2026-03-30 08:29:00,2026-03-30 12:00:00,,Luxembourg,Liege,396,60,175,In Transit,Food
S088,C014,R005,V008,D005,2026-03-30 10:00:00,2026-03-30 10:37:00,2026-03-30 14:00:00,,Luxembourg,Paris,246,143,209,In Transit,Pharma
S089,C019,R005,V005,D001,2026-03-30 11:00:00,2026-03-30 11:36:00,2026-03-30 15:00:00,,Luxembourg,Nancy,252,90,108,In Transit,General
S090,C008,R010,V006,D004,2026-03-30 14:00:00,2026-03-30 14:31:00,2026-03-30 18:00:00,,Luxembourg,Nancy,147,84,240,In Transit,General
S091,C015,R001,V010,D006,2026-03-30 15:00:00,2026-03-30 15:02:00,2026-03-30 19:00:00,,Luxembourg,Nancy,117,43,402,In Transit,Chemicals
S092,C018,R006,V009,D009,2026-03-30 11:00:00,2026-03-30 11:11:00,2026-03-30 15:00:00,2026-03-30 15:06:00,Luxembourg,Liege,134,85,593,Delivered,Chemicals
S093,C003,R003,V004,D007,2026-03-30 10:00:00,2026-03-30 10:07:00,2026-03-30 14:00:00,,Luxembourg,Reims,237,43,504,In Transit,General
S094,C012,R005,V010,D007,2026-03-30 09:00:00,2026-03-30 09:34:00,2026-03-30 13:00:00,2026-03-30 13:48:00,Luxembourg,Nancy,240,47,339,Delivered,Food
S095,C020,R004,V002,D008,2026-03-30 05:00:00,2026-03-30 05:39:00,2026-03-30 09:00:00,,Luxembourg,Nancy,204,124,219,In Transit,Pharma
S096,C016,R002,V002,D004,2026-03-30 05:00:00,2026-03-30 05:02:00,2026-03-30 09:00:00,,Luxembourg,Reims,119,119,564,In Transit,Chemicals
S097,C019,R003,V007,D002,2026-03-30 15:00:00,2026-03-30 15:34:00,2026-03-30 19:00:00,,Luxembourg,Metz,365,124,386,In Transit,General
S098,C015,R004,V006,D002,2026-03-30 10:00:00,2026-03-30 10:13:00,2026-03-30 14:00:00,,Luxembourg,Nancy,238,111,162,In Transit,Food
S099,C003,R004,V010,D001,2026-03-30 09:00:00,2026-03-30 09:12:00,2026-03-30 13:00:00,2026-03-30 13:48:00,Luxembourg,Brussels,220,82,228,Delivered,Pharma
S100,C008,R006,V003,D010,2026-03-30 06:00:00,2026-03-30 06:35:00,2026-03-30 10:00:00,2026-03-30 10:17:00,Luxembourg,Brussels,191,57,233,Delivered,Chemicals
S101,C001,R006,V004,D010,2026-03-30 07:00:00,2026-03-30 07:07:00,2026-03-30 11:00:00,2026-03-30 11:06:00,Luxembourg,Liege,58,64,371,Delivered,General
S102,C016,R008,V006,D009,2026-03-30 07:00:00,2026-03-30 07:26:00,2026-03-30 11:00:00,2026-03-30 10:58:00,Luxembourg,Reims,105,135,615,Delivered,Pharma
S103,C015,R001,V001,D008,2026-03-30 14:00:00,2026-03-30 14:02:00,2026-03-30 18:00:00,,Luxembourg,Metz,268,47,602,In Transit,Food
S104,C020,R003,V002,D003,2026-03-30 06:00:00,2026-03-30 06:05:00,2026-03-30 10:00:00,,Luxembourg,Liege,369,103,490,In Transit,Chemicals
S105,C004,R002,V009,D004,2026-03-30 12:00:00,2026-03-30 12:32:00,2026-03-30 16:00:00,,Luxembourg,Metz,281,78,523,In Transit,Chemicals
S106,C004,R006,V007,D006,2026-03-30 12:00:00,2026-03-30 12:25:00,2026-03-30 16:00:00,,Luxembourg,Nancy,180,115,256,In Transit,Food
S107,C014,R002,V006,D003,2026-03-30 06:00:00,2026-03-30 06:05:00,2026-03-30 10:00:00,2026-03-30 10:01:00,Luxembourg,Reims,80,104,225,Delivered,Food
S108,C020,R005,V006,D002,2026-03-30 10:00:00,2026-03-30 10:27:00,2026-03-30 14:00:00,2026-03-30 14:26:00,Luxembourg,Reims,309,74,258,Delivered,Food
S109,C018,R006,V002,D005,2026-03-30 08:00:00,2026-03-30 08:06:00,2026-03-30 12:00:00,,Luxembourg,Reims,165,129,674,In Transit,General
S110,C009,R005,V006,D006,2026-03-30 14:00:00,2026-03-30 14:17:00,2026-03-30 18:00:00,2026-03-30 18:13:00,Luxembourg,Brussels,142,56,679,Delivered,Food
S111,C017,R004,V007,D007,2026-03-30 06:00:00,2026-03-30 06:09:00,2026-03-30 10:00:00,2026-03-30 10:01:00,Luxembourg,Metz,224,60,478,Delivered,Chemicals
S112,C005,R003,V010,D001,2026-03-30 10:00:00,2026-03-30 10:36:00,2026-03-30 14:00:00,2026-03-30 13:56:00,Luxembourg,Nancy,91,89,553,Delivered,Food
S113,C014,R005,V004,D009,2026-03-30 12:00:00,2026-03-30 12:38:00,2026-03-30 16:00:00,,Luxembourg,Brussels,226,130,213,In Transit,Chemicals
S114,C017,R005,V001,D004,2026-03-30 15:00:00,2026-03-30 15:37:00,2026-03-30 19:00:00,,Luxembourg,Metz,356,34,107,In Transit,Pharma
S115,C010,R006,V002,D001,2026-03-30 09:00:00,2026-03-30 09:13:00,2026-03-30 13:00:00,2026-03-30 13:22:00,Luxembourg,Metz,270,64,232,Delivered,Food
S116,C003,R007,V001,D007,2026-03-30 13:00:00,2026-03-30 13:14:00,2026-03-30 17:00:00,,Luxembourg,Brussels,285,39,420,In Transit,Food
S117,C010,R002,V007,D001,2026-03-30 14:00:00,2026-03-30 14:25:00,2026-03-30 18:00:00,,Luxembourg,Liege,137,137,470,In Transit,General
S118,C019,R007,V009,D002,2026-03-30 11:00:00,2026-03-30 11:06:00,2026-03-30 15:00:00,2026-03-30 15:45:00,Luxembourg,Metz,208,106,326,Delivered,Chemicals
S119,C017,R004,V006,D006,2026-03-30 07:00:00,2026-03-30 07:04:00,2026-03-30 11:00:00,2026-03-30 11:57:00,Luxembourg,Nancy,380,57,341,Delivered,General
S120,C020,R003,V002,D003,2026-03-30 07:00:00,2026-03-30 07:16:00,2026-03-30 11:00:00,2026-03-30 11:12:00,Luxembourg,Nancy,302,138,677,Delivered,Food
S121,C011,R003,V008,D002,2026-03-30 15:00:00,2026-03-30 15:36:00,2026-03-30 19:00:00,,Luxembourg,Metz,276,97,381,In Transit,General
S122,C015,R008,V001,D001,2026-03-30 10:00:00,2026-03-30 10:32:00,2026-03-30 14:00:00,2026-03-30 14:29:00,Luxembourg,Liege,196,39,192,Delivered,Food
S123,C019,R004,V006,D010,2026-03-30 12:00:00,2026-03-30 12:37:00,2026-03-30 16:00:00,2026-03-30 16:47:00,Luxembourg,Metz,306,58,163,Delivered,Food
S124,C006,R001,V004,D008,2026-03-30 06:00:00,2026-03-30 06:21:00,2026-03-30 10:00:00,2026-03-30 10:54:00,Luxembourg,Metz,318,60,472,Delivered,Chemicals
S125,C011,R010,V001,D006,2026-03-30 09:00:00,2026-03-30 09:24:00,2026-03-30 13:00:00,,Luxembourg,Brussels,218,44,671,In Transit,Food
S126,C003,R010,V003,D006,2026-03-30 09:00:00,2026-03-30 09:16:00,2026-03-30 13:00:00,2026-03-30 13:32:00,Luxembourg,Liege,385,120,232,Delivered,General
S127,C011,R003,V009,D002,2026-03-30 09:00:00,2026-03-30 09:35:00,2026-03-30 13:00:00,,Luxembourg,Nancy,393,128,620,In Transit,Chemicals
S128,C006,R004,V006,D008,2026-03-30 05:00:00,2026-03-30 05:23:00,2026-03-30 09:00:00,,Luxembourg,Paris,165,55,258,In Transit,General
S129,C020,R003,V010,D007,2026-03-30 09:00:00,2026-03-30 09:06:00,2026-03-30 13:00:00,2026-03-30 13:33:00,Luxembourg,Paris,133,66,269,Delivered,Food
S130,C008,R008,V010,D005,2026-03-30 05:00:00,2026-03-30 05:26:00,2026-03-30 09:00:00,,Luxembourg,Nancy,279,79,646,In Transit,Pharma
S131,C019,R008,V008,D005,2026-03-30 09:00:00,2026-03-30 09:30:00,2026-03-30 13:00:00,2026-03-30 13:37:00,Luxembourg,Metz,307,127,265,Delivered,Pharma
S132,C002,R008,V006,D009,2026-03-30 14:00:00,2026-03-30 14:08:00,2026-03-30 18:00:00,,Luxembourg,Brussels,314,51,391,In Transit,General
S133,C017,R003,V007,D002,2026-03-30 07:00:00,2026-03-30 07:17:00,2026-03-30 11:00:00,,Luxembourg,Paris,280,109,127,In Transit,Food
S134,C008,R007,V002,D006,2026-03-30 05:00:00,2026-03-30 05:25:00,2026-03-30 09:00:00,,Luxembourg,Paris,64,101,201,In Transit,Chemicals
S135,C016,R003,V008,D008,2026-03-30 07:00:00,2026-03-30 07:08:00,2026-03-30 11:00:00,2026-03-30 11:26:00,Luxembourg,Reims,52,40,119,Delivered,Chemicals
S136,C004,R005,V004,D005,2026-03-30 08:00:00,2026-03-30 08:09:00,2026-03-30 12:00:00,,Luxembourg,Brussels,74,81,529,In Transit,Food
S137,C020,R009,V001,D009,2026-03-30 06:00:00,2026-03-30 06:07:00,2026-03-30 10:00:00,,Luxembourg,Reims,173,56,398,In Transit,Food
S138,C008,R010,V007,D003,2026-03-30 05:00:00,2026-03-30 05:39:00,2026-03-30 09:00:00,,Luxembourg,Nancy,392,41,636,In Transit,Chemicals
S139,C016,R001,V007,D006,2026-03-30 06:00:00,2026-03-30 06:33:00,2026-03-30 10:00:00,2026-03-30 10:39:00,Luxembourg,Liege,58,111,169,Delivered,Chemicals
S140,C005,R001,V006,D009,2026-03-30 08:00:00,2026-03-30 08:40:00,2026-03-30 12:00:00,2026-03-30 12:32:00,Luxembourg,Liege,379,64,575,Delivered,Food
S141,C015,R001,V005,D004,2026-03-30 15:00:00,2026-03-30 15:11:00,2026-03-30 19:00:00,2026-03-30 18:58:00,Luxembourg,Brussels,152,30,423,Delivered,Chemicals
S142,C009,R001,V004,D005,2026-03-30 13:00:00,2026-03-30 13:25:00,2026-03-30 17:00:00,,Luxembourg,Liege,74,104,379,In Transit,General
S143,C015,R007,V006,D003,2026-03-30 10:00:00,2026-03-30 10:27:00,2026-03-30 14:00:00,,Luxembourg,Metz,304,114,631,In Transit,Chemicals
S144,C020,R003,V009,D005,2026-03-30 06:00:00,2026-03-30 06:27:00,2026-03-30 10:00:00,2026-03-30 10:45:00,Luxembourg,Liege,102,40,435,Delivered,Chemicals
S145,C006,R008,V006,D008,2026-03-30 09:00:00,2026-03-30 09:28:00,2026-03-30 13:00:00,,Luxembourg,Brussels,230,131,381,In Transit,General
S146,C012,R009,V003,D001,2026-03-30 06:00:00,2026-03-30 06:40:00,2026-03-30 10:00:00,,Luxembourg,Paris,361,132,135,In Transit,Pharma
S147,C012,R007,V010,D001,2026-03-30 06:00:00,2026-03-30 06:15:00,2026-03-30 10:00:00,,Luxembourg,Reims,128,135,479,In Transit,Chemicals
S148,C012,R007,V006,D005,2026-03-30 12:00:00,2026-03-30 12:04:00,2026-03-30 16:00:00,2026-03-30 16:57:00,Luxembourg,Paris,108,26,290,Delivered,Food
S149,C009,R008,V004,D010,2026-03-30 13:00:00,2026-03-30 13:24:00,2026-03-30 17:00:00,2026-03-30 17:23:00,Luxembourg,Liege,301,71,225,Delivered,Pharma
S150,C003,R006,V006,D002,2026-03-30 06:00:00,2026-03-30 06:28:00,2026-03-30 10:00:00,2026-03-30 10:46:00,Luxembourg,Reims,327,94,407,Delivered,Pharma
S151,C017,R004,V002,D004,2026-03-30 15:00:00,2026-03-30 15:11:00,2026-03-30 19:00:00,,Luxembourg,Paris,171,146,126,In Transit,Chemicals
S152,C015,R009,V003,D010,2026-03-30 13:00:00,2026-03-30 13:36:00,2026-03-30 17:00:00,,Luxembourg,Brussels,83,99,507,In Transit,Food
S153,C019,R002,V003,D006,2026-03-30 13:00:00,2026-03-30 13:26:00,2026-03-30 17:00:00,,Luxembourg,Nancy,87,135,577,In Transit,Chemicals
S154,C014,R009,V001,D002,2026-03-30 07:00:00,2026-03-30 07:35:00,2026-03-30 11:00:00,2026-03-30 11:06:00,Luxembourg,Reims,128,97,268,Delivered,Pharma
S155,C017,R005,V002,D005,2026-03-30 10:00:00,2026-03-30 10:14:00,2026-03-30 14:00:00,,Luxembourg,Paris,375,90,228,In Transit,Chemicals
S156,C006,R010,V010,D003,2026-03-30 14:00:00,2026-03-30 14:34:00,2026-03-30 18:00:00,2026-03-30 18:54:00,Luxembourg,Paris,387,106,677,Delivered,General
S157,C007,R010,V007,D010,2026-03-30 05:00:00,2026-03-30 05:05:00,2026-03-30 09:00:00,2026-03-30 09:23:00,Luxembourg,Nancy,65,147,658,Delivered,Chemicals
S158,C008,R007,V005,D008,2026-03-30 15:00:00,2026-03-30 15:19:00,2026-03-30 19:00:00,,Luxembourg,Brussels,80,60,550,In Transit,Food
